,time,state,label
380,Thu May 21 23:38:51 +0000 2020,nv,-1
381,Thu May 21 23:38:48 +0000 2020,ca,-1
382,Thu May 21 23:38:35 +0000 2020,mi,-1
383,Thu May 21 23:38:32 +0000 2020,dc,-1
384,Thu May 21 23:38:30 +0000 2020,ny,-1
385,Thu May 21 23:38:28 +0000 2020,tx,-1
386,Thu May 21 23:38:26 +0000 2020,oh,-1
387,Thu May 21 23:38:23 +0000 2020,ca,1
388,Thu May 21 23:38:19 +0000 2020,nh,1
389,Thu May 21 23:38:15 +0000 2020,ca,-1
390,Thu May 21 23:38:15 +0000 2020,fl,1
392,Thu May 21 23:38:12 +0000 2020,in,-1
393,Thu May 21 23:38:07 +0000 2020,ks,1
395,Thu May 21 23:37:55 +0000 2020,fl,1
396,Thu May 21 23:37:51 +0000 2020,az,1
397,Thu May 21 23:37:49 +0000 2020,ok,-1
398,Thu May 21 23:37:44 +0000 2020,mn,1
399,Thu May 21 23:37:36 +0000 2020,nh,1
400,Thu May 21 23:37:35 +0000 2020,ne,-1
401,Thu May 21 23:37:34 +0000 2020,in,1
402,Thu May 21 23:37:28 +0000 2020,tx,1
403,Thu May 21 23:37:26 +0000 2020,ny,-1
404,Thu May 21 23:37:23 +0000 2020,ca,1
405,Thu May 21 23:37:11 +0000 2020,az,-1
406,Thu May 21 23:37:08 +0000 2020,dc,-1
407,Thu May 21 23:37:04 +0000 2020,ca,1
409,Thu May 21 23:36:58 +0000 2020,mo,1
410,Thu May 21 23:36:57 +0000 2020,pa,1
411,Thu May 21 23:36:49 +0000 2020,md,-1
412,Thu May 21 23:36:48 +0000 2020,ny,-1
413,Thu May 21 23:36:45 +0000 2020,fl,1
414,Thu May 21 23:36:40 +0000 2020,la,-1
415,Thu May 21 23:36:37 +0000 2020,tx,1
416,Thu May 21 23:36:29 +0000 2020,md,1
417,Thu May 21 23:36:29 +0000 2020,az,1
418,Thu May 21 23:36:24 +0000 2020,ca,1
419,Thu May 21 23:36:24 +0000 2020,oh,-1
420,Thu May 21 23:36:23 +0000 2020,ny,1
421,Thu May 21 23:36:23 +0000 2020,nj,1
422,Thu May 21 23:36:21 +0000 2020,mi,1
423,Thu May 21 23:36:20 +0000 2020,mi,-1
424,Thu May 21 23:36:19 +0000 2020,ma,-1
426,Thu May 21 23:36:09 +0000 2020,ny,-1
427,Thu May 21 23:36:05 +0000 2020,mi,-1
428,Thu May 21 23:36:03 +0000 2020,or,1
429,Thu May 21 23:36:02 +0000 2020,va,1
430,Thu May 21 23:35:59 +0000 2020,fl,1
431,Thu May 21 23:35:36 +0000 2020,ma,1
433,Thu May 21 23:35:29 +0000 2020,nh,-1
434,Thu May 21 23:35:24 +0000 2020,fl,-1
435,Thu May 21 23:35:23 +0000 2020,tx,1
436,Thu May 21 23:35:21 +0000 2020,ca,-1
437,Thu May 21 23:35:19 +0000 2020,ms,1
438,Thu May 21 23:35:18 +0000 2020,mo,1
439,Thu May 21 23:35:17 +0000 2020,or,1
440,Thu May 21 23:35:16 +0000 2020,fl,1
441,Thu May 21 23:35:11 +0000 2020,az,1
442,Thu May 21 23:35:10 +0000 2020,nc,-1
443,Thu May 21 23:35:07 +0000 2020,tx,1
444,Thu May 21 23:35:04 +0000 2020,sc,1
445,Thu May 21 23:35:03 +0000 2020,sc,-1
447,Thu May 21 23:35:02 +0000 2020,il,-1
448,Thu May 21 23:35:02 +0000 2020,ca,-1
449,Thu May 21 23:35:00 +0000 2020,oh,1
450,Thu May 21 23:34:59 +0000 2020,ct,1
451,Thu May 21 23:34:58 +0000 2020,ma,-1
453,Thu May 21 23:34:57 +0000 2020,tn,-1
454,Thu May 21 23:34:51 +0000 2020,or,1
455,Thu May 21 23:34:49 +0000 2020,ca,-1
456,Thu May 21 23:34:48 +0000 2020,tx,-1
457,Thu May 21 23:34:46 +0000 2020,wa,-1
458,Thu May 21 23:34:40 +0000 2020,mn,-1
459,Thu May 21 23:34:35 +0000 2020,la,1
460,Thu May 21 23:34:35 +0000 2020,ny,1
461,Thu May 21 23:34:30 +0000 2020,ca,1
462,Thu May 21 23:34:29 +0000 2020,mi,1
463,Thu May 21 23:34:26 +0000 2020,ca,-1
464,Thu May 21 23:34:23 +0000 2020,nj,1
465,Thu May 21 23:34:22 +0000 2020,pa,1
466,Thu May 21 23:34:21 +0000 2020,va,-1
467,Thu May 21 23:34:18 +0000 2020,ca,-1
468,Thu May 21 23:34:17 +0000 2020,ks,1
469,Thu May 21 23:34:10 +0000 2020,ky,-1
471,Thu May 21 23:33:51 +0000 2020,pa,1
472,Thu May 21 23:33:40 +0000 2020,ca,-1
473,Thu May 21 23:33:37 +0000 2020,ca,1
474,Thu May 21 23:33:33 +0000 2020,fl,1
475,Thu May 21 23:33:28 +0000 2020,oh,1
476,Thu May 21 23:33:23 +0000 2020,az,-1
477,Thu May 21 23:33:19 +0000 2020,ny,1
478,Thu May 21 23:33:19 +0000 2020,ga,1
479,Thu May 21 23:33:18 +0000 2020,tx,1
480,Thu May 21 23:33:17 +0000 2020,va,1
481,Thu May 21 23:33:15 +0000 2020,pa,1
482,Thu May 21 23:33:11 +0000 2020,dc,-1
484,Thu May 21 23:33:08 +0000 2020,ny,1
485,Thu May 21 23:33:07 +0000 2020,fl,-1
486,Thu May 21 23:33:04 +0000 2020,ny,-1
487,Thu May 21 23:33:00 +0000 2020,ma,-1
488,Thu May 21 23:32:53 +0000 2020,ca,1
489,Thu May 21 23:32:48 +0000 2020,nc,1
490,Thu May 21 23:32:41 +0000 2020,ny,-1
491,Thu May 21 23:32:39 +0000 2020,ca,-1
492,Thu May 21 23:32:32 +0000 2020,fl,-1
493,Thu May 21 23:32:30 +0000 2020,nh,1
494,Thu May 21 23:32:28 +0000 2020,ct,1
495,Thu May 21 23:32:24 +0000 2020,ca,1
497,Thu May 21 23:32:21 +0000 2020,ga,1
498,Thu May 21 23:32:19 +0000 2020,fl,-1
499,Thu May 21 23:32:18 +0000 2020,nc,1
500,Thu May 21 23:32:16 +0000 2020,az,-1
502,Thu May 21 23:32:09 +0000 2020,ny,-1
503,Thu May 21 23:32:00 +0000 2020,tn,1
504,Thu May 21 23:31:59 +0000 2020,tx,-1
505,Thu May 21 23:31:58 +0000 2020,ny,-1
508,Thu May 21 23:31:54 +0000 2020,or,-1
509,Thu May 21 23:31:50 +0000 2020,ca,-1
510,Thu May 21 23:31:50 +0000 2020,fl,1
511,Thu May 21 23:31:40 +0000 2020,il,1
512,Thu May 21 23:31:27 +0000 2020,tx,1
513,Thu May 21 23:31:23 +0000 2020,pa,-1
514,Thu May 21 23:31:14 +0000 2020,tx,-1
515,Thu May 21 23:31:12 +0000 2020,ut,1
516,Thu May 21 23:31:06 +0000 2020,sc,-1
517,Thu May 21 23:31:05 +0000 2020,tx,1
518,Thu May 21 23:31:05 +0000 2020,nv,-1
519,Thu May 21 23:31:05 +0000 2020,wi,-1
520,Thu May 21 23:31:05 +0000 2020,ct,-1
521,Thu May 21 23:31:00 +0000 2020,sc,1
522,Thu May 21 23:30:42 +0000 2020,oh,1
523,Thu May 21 23:30:37 +0000 2020,wi,-1
524,Thu May 21 23:30:34 +0000 2020,az,-1
525,Thu May 21 23:30:34 +0000 2020,ct,-1
526,Thu May 21 23:30:32 +0000 2020,ny,1
527,Thu May 21 23:30:29 +0000 2020,ca,1
528,Thu May 21 23:30:28 +0000 2020,fl,1
529,Thu May 21 23:30:28 +0000 2020,pa,1
530,Thu May 21 23:30:26 +0000 2020,wa,1
531,Thu May 21 23:30:26 +0000 2020,sc,1
532,Thu May 21 23:30:25 +0000 2020,dc,1
533,Thu May 21 23:30:23 +0000 2020,ny,-1
534,Thu May 21 23:30:15 +0000 2020,ks,-1
535,Thu May 21 23:30:14 +0000 2020,ca,1
536,Thu May 21 23:30:13 +0000 2020,co,1
537,Thu May 21 23:30:11 +0000 2020,nv,1
538,Thu May 21 23:30:10 +0000 2020,wi,-1
539,Thu May 21 23:30:08 +0000 2020,ca,1
540,Thu May 21 23:30:06 +0000 2020,me,1
541,Thu May 21 23:30:05 +0000 2020,nj,1
542,Thu May 21 23:30:05 +0000 2020,il,1
543,Thu May 21 23:30:04 +0000 2020,tx,1
544,Thu May 21 23:30:03 +0000 2020,nd,-1
545,Thu May 21 23:30:00 +0000 2020,tx,-1
546,Thu May 21 23:30:00 +0000 2020,al,1
548,Thu May 21 23:30:00 +0000 2020,ga,1
549,Thu May 21 23:30:00 +0000 2020,pa,1
550,Thu May 21 23:30:00 +0000 2020,ma,1
551,Thu May 21 23:29:44 +0000 2020,dc,1
552,Thu May 21 23:29:21 +0000 2020,ca,1
553,Thu May 21 23:29:16 +0000 2020,nm,-1
554,Thu May 21 23:29:08 +0000 2020,tx,-1
555,Thu May 21 23:29:03 +0000 2020,nm,1
556,Thu May 21 23:29:02 +0000 2020,fl,-1
557,Thu May 21 23:28:54 +0000 2020,tx,1
558,Thu May 21 23:28:51 +0000 2020,pa,-1
559,Thu May 21 23:28:44 +0000 2020,ca,-1
560,Thu May 21 23:28:43 +0000 2020,ok,1
561,Thu May 21 23:28:41 +0000 2020,in,1
562,Thu May 21 23:28:37 +0000 2020,or,1
564,Thu May 21 23:28:31 +0000 2020,fl,1
565,Thu May 21 23:28:26 +0000 2020,ky,1
566,Thu May 21 23:28:23 +0000 2020,tx,1
567,Thu May 21 23:28:13 +0000 2020,or,-1
568,Thu May 21 23:28:11 +0000 2020,nd,1
569,Thu May 21 23:28:10 +0000 2020,ar,-1
570,Thu May 21 23:28:07 +0000 2020,ca,-1
571,Thu May 21 23:28:07 +0000 2020,ca,1
572,Thu May 21 23:28:06 +0000 2020,nc,1
573,Thu May 21 23:27:59 +0000 2020,pa,1
574,Thu May 21 23:27:57 +0000 2020,ny,1
575,Thu May 21 23:27:53 +0000 2020,oh,1
576,Thu May 21 23:27:50 +0000 2020,mo,1
